id,text,label
19,"RT Abah Anies Janji Bakal Revisi UU KPK untuk Kembalikan Kepercayaan Publik Ã°ÂŸÂ‘Â Calon presiden (capres) nomor urut 1 Anies Baswedan berjanji akan melakukan pembenahan terhadap Komisi Pemberantasan Korupsi (KPK) apabila memenangi pemilihan presiden (Pilpres) 2024. Langkah pertama Anies untuk membenahi lembaga antirasuah yaitu dengan merevisi Undang-Undang (UU) Nomor 19 Tahun 2019 tentang Perubahan atas UU Nomor 30 Tahun 2002 tentang Komisi Pemberantasan Tindak Pidana Korupsi. Menurut Anies, langkah merevisi UU tersebut bertujuan untuk mengembalikan kepercayaan publik sekaligus mengembalikan KPK seperti dulu sebagai lembaga yang memiliki kemampuan memberantas korupsi. ""Kita mengembalikan agar KPK berwibawa lagi secara legal seperti dulu, dan ini artinya merevisi Undang-Undang KPK. Kami ingin agar revisi ini bisa mengembalikan KPK pada posisi yang kuat,"" ujar Anies dalam pemaparannya di acara 'Paku Integritas Calon Presiden dan Calon Wakil Presiden' di Gedung KPK, Jakarta, Rabu (17/1/2024) malam. Selain memperbaiki UU, Anies juga berkomitmen agar menciptakan standar etika yang tinggi di tubuh KPK. Anies menginginkan supaya semua unsur KPK kembali seperti dulu, ketika di mana para pegawainya tidak mau ikut makan atau tak ingin mengikuti kegiatan yang tidak didanai oleh KPK. ""Standar yang tinggi itu harus dikembalikan di KPK, sehingga bukan saja undang-undangnya memberikan kekuatan, dan kemandirian tetapi juga di dalamnya baik pimpinan maupun staf bekerja dengan kode etik yang amat tinggi,"" ujar Anies. Anies juga ingin memperbaiki rekrutmen baik di tingkat pimpinan maupun di tingkat pegawai. ""Seperti yang tadi disampaikan yang diusulkan presiden tingkat pimpinan maupun rekrutmen staf yang bukan hanya mencari pekerjaan tetapi menjadi tempat untuk memberantas korupsi,"" imbuh dia. (Sumber https://t.co/E8wFn3r4P4) #AminMiskinkanKoruptor [RE tijabar]",Pertahanan dan Keamanan
20,RT Nasehat Anies Kedua Kalinya Pada Prabowo Mengenai Transparansi &amp; Pencapaian Tugas Selama Jadi Menhan. CEMANA LUR ? https://t.co/alTWhgdl4g [RE sutanmangara],Politik
21,RT Abah Anies Baswedan &amp; ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini Ã°ÂŸÂ”Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701],Politik
22,RT Ã°ÂŸÂ—Â£Ã¯Â¸Â Ganjar Pranowo: UU perampasan aset sebagai respon pemberantasan korupsi. Korupsi bikan hanya tanggung jawab KPK melainkan semua pihak. Dan Nusakambangan tempat terbaik untuk koruptor. https://t.co/sxhlikZmq9 [RE timpenguinnas],Politik
23,"RT al fatihah buat Alm. Lambang Babar Purnomo, alumnus Arkeologi UGM yang diduga dibunuh saat jadi saksi kasus pencurian dan pemalsuan arca Museum Radya Pustaka yang melibatkan Hashim Djojohadikusumo, adik Prabowo. [RE ibnarief]",Pertahanan dan Keamanan
24,"kalau mau melihat Indonesia yg asli. Indonesia yg Bhinneka Tunggal Ika Lihat pendukung Anies seluruh spektrum masyarakat ada disana. ada agamais, atheis, feminist, technokrat, komika, kpoppers, tua, muda, miskin, kaya, india, cina, bule, semua suku, gen x,y,z,mil. melting pot!",Ideologi
25,@zgtUZ0bMBayTcss/hhhCiOFOR57fEOcUUzqKtjFgUNw= Lhaa prabowo cawapresnya aja botol plastik. Ga ramah lingkungan,Sosial Budaya
26,Calon Presiden RI No Urut 3 Ganjar Pranowo tegas: Konstitusi atau aturan dasar negara harus dijaga bersama-sama.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/1DftyhOQd0,Ideologi
27,"RT Diksi motor brong, mabuk ciu, ga punya SIM, provokasi bolak-balik 8 kali yang digaungkan terlihat sedang menutupi fakta lain yang sebenarnya terjadi.. Oknum TNI diduga tak hanya menganiaya relawan Ganjar-Mahfud, namun juga warga yang mendokumentasikan kejadian tersebut. https://t.co/gdXlGoOLLZ [RE Paltiwest]",Politik
28,"RANGKUMAN komentar terbaik netizen... Selengkapnya: https://t.co/u1gdKVU1Tq Oleh: @aioMrRhYTphvTf02GzDeWx+gczEwefi+iVap5f97t1c= Masa iya sih ANGGARAN PROYEK ""Food Estate"" Triliunan itu GAGAL? Atau.. DUITNYA DIPAKAI untuk salah satunya DANA KAMPANYE dan BAGI- BAGI DUIT pak Wowo @W/wiEPKuoR8Q9R9uNxk3HHV5duFbJ4nCbxqGNszj+6A= #AniesPresiden2024 https://t.co/U8ExAiP1hQ",Politik
29,RT Calon presiden (capres) nomor urut 1 @8QgXWc9Msw4YM8fw1G4Znan+DPf+HTWrA3rMswMjJCM= menyoroti banyaknya dugaan pelanggaran netralitas dari aparat. Anies menekankan bahwa aparat hingga pejabat negara harus menjaga netralitas di Pemilu 2024. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #pilpres2024 [RE Metro_TV],Politik
30,@Xg99t6cgPfYOfV58Ry5pDnxooneBM1nbA9G0HYkiQOA= Program prioritas Anies dinilai sejalan dengan aspirasi dan kebutuhan mayoritas warga Jawa Barat saat ini.,Sosial Budaya
31,"Sederhana, jelas, dan efektif! Paslon No 03 Capres Ganjar Pranowo dan Cawapres Mahfud MD punya resep tuntasin regulasi hukum investor di Indonesia.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/rlMHWmAkHm",Politik
32,RT POLITIK AJI MUMPUNG 2024 JOHAN O SILAHI... BEBERKAN POLITIK AJI MUMPUNG PRABOWO DAN GIBRAN....Ã¢Â€Â¼Ã¯Â¸Â #BobroknyaKemenhan #BobroknyaKemenhan Ã°ÂŸÂ†Â˜Ã°ÂŸÂ†Â— https://t.co/tjZFs8Qrza [RE Jatayu_45back],Politik
33,"Solidaritas Ciamis terlihat mantap! Kyai Muda mendeklarasikan dukungan tulusnya untuk Prabowo, pemimpin yang memahami kebutuhan rakyat dengan baik. #JabarTetapPakBowo DariJabar UntukIndonesia https://t.co/YvxvQU2vTJ",Politik
34,Capres Cawapres Ganjar Pranowo - Mahfud MD - Mahfud MD serius banget nih! Bakal libatkan perguruan tinggi buat bikin program-program yang oke di berbagai sektor. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK,Politik
35,"Bro, kabar gembira nih buat Pilpres 2024. Ganjar Pranowo janjiin program asyik: Dilaut Kita Jaya, Nelayan Sejahtera. Mantap!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/AbZ3VWBHXm",Politik
36,"RT Pagi di Papua, Malam sudah sampai Sulawesi Selatan. Pak Anies ditemenin pak Jusuf Kalla (JK) dalam agendanya Kampanye di Sulsel pagi ini. InsyaAllah dg dukungan pak JK Akan sangat berdampak pd Elektoral suara AMIN di Indonesia Timur &amp; Indonesia pd Umumnya. #AMINAjaDulu https://t.co/ucZJFsYCEw [RE BangPino__]",Politik
37,"RT CATATAN DIGITAL GUSDUR TENTANG CAK IMIN, MEGAWATI, AMIN RAIS DAN PRABOWO @aZKJQeqEVoL30Kgnsh0oJvfGvn/llXh33a3GT+qJEHVRiSf9vDtekbsbPtsUdLle @ZjA17zbmaqkh7DJoM41HXwGrhK+7wthNe08GE4tV7vw= @8CoDzwgcrTopZqup9zX811CRwq8eFw39qdTIcPXCvdo= @v+neKshbzB20pN+OSmwlX/2HVpwD0dxb6RO13kIyVd2Lg1ktIHJCBnV+gsxMcFYK @yGj3xueI2su2XsnuzZn/dy2gU+rEa0OfrSpRJfWILbY= #budalmasdar #PrabowoSubianto #prabowo #prabowopresiden #prabowogibran #GibranRakabuming #pemersatubangsa #masdar #untukbangsa https://t.co/jAyBTtrKDL [RE GerindraTegal]",Sosial Budaya
38,"RT @fpQx3dcS1FrE2wb1EQGBF6PdQWcUfIP67XKUUchn1so= Pulau Sebira adalah saksi dari gagasan Adil Makmur untuk Semua, dengan segala perubahannya yang dirasakan langsung oleh warga hingga seorang tokoh di Pulau Sebira bicara lantang di depan warganya: Ã¢Â€ÂœKami ingin bapak Anies datang lagi ke sini."" ""Namun sebagai presiden.Ã¢Â€Â https://t.co/RYdc50YCql [RE xixi_189]",Politik
39,RT K-Popers Berencana Kirim Food Truck untuk Anies Baswedan di Acara Desak Anies Diseriusin ya ternyata! Keren ih Ã°ÂŸÂ‘ÂÃ°ÂŸÂ˜ÂŠ https://t.co/VKmOJbqkM3 [RE Mdy_Asmara1701],Sosial Budaya
40,"Pada 2024, kita semua menyaksikan perubahan kepemimpinan yang penuh harapan, dengan Ganjar Pranowo mengemban tugas yang sebelumnya dijalankan oleh Jokowi.#GanjarMahfudRebound #GanjarPranowoPranowoPilihanUmat #JNK",Politik
41,RT Baru ada di era Anies...400 Purnawirawan TNI-POLRI Siap jadi saksi AMIN di TPS..!! Semakin tak terbendung dukungan untuk pasangan AMIN... https://t.co/3ffwjdh9fO [RE QianzyZ],Politik
42,RT Bu Connie mempermasalahkan PT TMI kemudian ditawari proyek Kemhan. Apakah ini yang dimaksud pak Prabowo sebagai rahasia negara yg dibicarakan secara tertutup? Jangan marah ya. Ini sekadar bertanya. https://t.co/sGY3XWy6QH [RE berlianidris],Pertahanan dan Keamanan
43,"RT Sambutan meriah para petani di Demak ketmu sama pa @ujqRDyxOu3VQVHx4NORPXyb1dlN2RfL42lay7EbUlzA= @dVlCJQXyq8zFMILD00iK8isvXjjvO7WVEyq1QtaPbRY= ,inssalh pa Ganjar Mahfud menang satu putaran. #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik https://t.co/7Un6ZZryMx [RE veraagustian_]",Politik
44,RT Ternate pecah! Kampanye Akbar pak Anies Baswedan hari ini di Ternate Ã°ÂŸÂ«Â¶ #AMINAjaDulu https://t.co/1WEEvws1x2 [RE Mdy_Asmara1701],Politik
45,"RT Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp; tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan. Mau bohong apa lagi wahai kalian, para kaum Oportunis tak punya nurani. https://t.co/DwkqXVGJbg [RE GeiszChalifah]",Politik
46,RT Surat terbuka untuk @sy+a8W8jqVPUyDDujIig5u+jSrP84ig7sUvrhSuNo58= : Ã¢Â€ÂœBukan soal urusan benar dan salah. Ini sensitif dan tidak sensitif.Ã¢Â€Â Disclaimer: Satu. Gua double minoritas Ã¢Â€Â” keturunan Cina dan Kristen. Tahun 2018 lalu gua pendukung keras Ahok juga Ã¢Â€Â” ikut kampanye ke teman2 dan keluarga untuk kumpulin tanda tangan untuk Ahok dan ikut gabung gerakan 1000 lilin untuk Ahok ketika dia divonis penjara. Dua. Di pemilu presiden 2024 tahun ini walaupun gua masih swing voter Ã¢Â€Â”menimbang-nimbang di antara ketiga kandidat (tinggal dua sih sebenarnya) Ã¢Â€Â” di posisi saat ini gua lebih condong untuk vote Anies. Surat terbuka ini gua tulis untuk Anies karena gua ga bisa ikut keriaan acara Desak Anies di Indonesia. :) [RE SumitroYoel],Sosial Budaya
47,"RT Tim hukum Ganjar Mahfud bicara, bahwa seharusnya kasus @xkAQEXfOtCnBvvGDL2XaOwyk8e4+qGueFReI8P3HsnU= itu yang dianggap menyebarkan hoax itu masuk dalam delik aduan. Dengan artian, yang merasa dirugikan karena sebaran @wU7sHfKa1eEK2IhruUDsibQ3L1SuVsOXnI8sCFJQnz4= itulah yang harus melaporkan. Dalam hal ini Dandim, Kapolres, Kajari dan Pj Bupati Batu bara. Biar clear. Gak dengan tiba2 ditangkap pagi2 buta. [RE Dennysiregar7]",Politik
48,"RT Akses terhadap hukum sangat mahal &amp; berliku-liku bahkan seringkali kehilangan aset jika berurusan dg hukum, rakyat akan sangat terbantu dg program bantuan hukum gratis yg digagas AMIN.. Anies Deserve Better Videotron #HotlineParisAMIN https://t.co/cHyXtotXDr [RE ekowboy2]",Politik
49,RT semua akan prabowo pada saatnja [RE wakcis],Pertahanan dan Keamanan
50,@vPIeP1+L4cN3l2YZB8SMMDHg01kjqcjVJZk0lYRBYkI= Kepekaan dan kepedulian Ganjar terhadap para petani dan seniman patut kita apresiasi,Sosial Budaya
51,RT Video dukungan dari Bang David Chalik Ketua Umum SERAMBI (Serikat Relawan Anies Muhaimin Buat Indonesia). #HaveAniesDay #JanganGengsiDukungAMIN https://t.co/GfMtbOv6eq [RE BangPino__],Politik
52,"RT Soal buka resto di luar negeri didukung oleh negara itu yg bikin negara sekecil Thailand bisa narik wisatawan jauh lebih besar daripada Indonesia. Sebagai pelaku kuliner yg lagi ngalamin repotnya buka usaha di LN, gue sangat senang hal ini diungkapkan Mas Anies di acara nasional [RE kozirama]",Politik
53,"RT Ganjar-Mahfud Miliki Strategi Jitu Bebaskan Nelayan dari Jerat Hutang Spirit pengembangan ekonomi biru, utamanya juga untuk mengangkat harkat kehidupan para nelayan Hal tsb diungkap Juru Bicara TPN @iPeiJPPfTCMepyM+WczWgQDuMhsAxWkrFsKx9/Jl/+s= &amp; @gL24Fihnvj40oke/cqWaJPksxOw1F5vQMj+ETR4S0ho= Chiko Hakim #RembuGanjar #GasssGanjarMahfud https://t.co/xHqRaD1LjZ [RE chandraLaras22]",Ekonomi
54,"Nelayan tak sendiri melawan kredit macet. Oleh karena itu, Ganjar Pranowo, Mahfud MD, mari bersama-sama kita berikan mereka kekuatan! #NelayanKuat #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNK https://t.co/DD2QiLfsXz",Politik
55,@oR3rpStuxSWTQIDtFPVyi6cocEQj1SQjUW7Lji59TWw= Baiklah...saya dukung Ganjar Mahfud untuk menghemat 450 triliun pertahun https://t.co/Npar1taUr6,Politik
56,"Keb3rsamaan Slankers dan Mas Ganjar - Mahfud menciptakan harmoni politik yang membanggakan . Ganjar Pranowo, terbukti mensejahterakan @TsFzUPX4f6BIcmbwzDiDN5hhPJsLz4uGbLplKabI2eU= #GanjarMahfud2024 #SlankGanjarMahfud #Coblos3 https://t.co/3nIrGBNpH4",Politik
57,Keberhasilan P3rtahanan dan kemakmuran ekonomi di tangan Ganjar-Mahfud akan membuktikan bahwa mereka adalah pemimpin terbaik @DHX0+dX1rm1Fp+RN2kS72YZ/jq3o8epgtgsyj1DmtIw= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/sau91MF9eC,Politik
58,"RT Pergerakan urbanisasi dinilai masih tinggi di Indonesia. Diperkirakan 250 juta penduduk Indonesia akan tinggal di perkotaan pada tahun 2035. Untuk mengantisipasi hal tersebut, Calon Presiden nomor urut 1 Anies Baswedan, memaparkan strategi yang efektif untuk mengantisipasi persoalan ini. Simak video selengkapnya di https://t.co/6HvWkDsada Nantikan juga Live Eksklusif ""Dialog Capres bersama Kadin: Sesi III Prabowo Subianto"" Jumat, 12 Januari 2024 pkl 09.30-11.30 WIB LIVE hanya di tvOne & live streaming di Youtube tvOnenews #HardNews_Politik #FlashOne #CariBeritaditvOne #AniesBaswedan #Pilpres2024 #Capres2024 #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu [RE tvOneNews]",Politik
59,RT Situasi para relawan dan warga menyambut kedatangan capres No 1 Anies Baswedan.. Semangat menjemput perubahan Ã°ÂŸÂ’Âª https://t.co/0a2tWNkFGe [RE Mdy_Asmara1701],Politik
60,RT Pedagang bakso di bekasi dukung program-program Pak Prabowo lho. Apalagi yang terkait pemenuhan gizi anak seperti makan siang dan susu gratis. #prabowo #gibran #prabowogibran #bekasi #tukangbakso #abangtukangbakso #makansiangdansusugratis #gizianak #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo [RE dekade_08],Politik
61,"Dalam pandangan Ajengan Muda, Prabowo adalah pemimpin yang memiliki keberanian untuk melawan penyebaran hoaks dan ujaran kebencian. #JabarTetapPakBowo DariJabar UntukIndonesia https://t.co/ge5W2ptgZb",Politik
62,"@3wktWtnLmD3YkDI1Y6/ULV9mkbjTjEfwhBMaUgxt7lA= Mengingatkan saja, jika pak Anies tidak dukung kepada Jokowi bebas2 aja, tetapi tidak membuat serangan personal ke AyahBOWO AdalahKITA. #MunculFenomenaPAKbowo DukunganTulus Untuk02",Politik
63,Keberpihakan Mas Ganjar pada kesempatan kerja membawa angin segar bagi rakyat yang mengharapkan perubahan ekonomi yang nyata. @SRo/RYgoV7HiThkDPKiKxruFsS/X9ZAc6r3+Docc6QE= #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik https://t.co/Z0FX7mTFNH,Politik
64,@Zl2EQvIVvgTBhIw7GCDCcUO+3jb9ECRkTSU5B/wwh+o= Gak nyangka ada begitu banyak orang yang dukung Prabowo Gibran di Tanah Datar. Salut deh sama antusiasmenya.,Sosial Budaya
65,Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar 14febketps yespakbowo Kebersamaan keluarga Mahfud MD adalah ce Ã°ÂŸÂ«Â– rminan dari kepemimpinan yang transparan dan terbuka.\'a0 andrejanuar15 GP 4Presiden 1S0pt8bNwO bersih kuatkanKPK Mahfud MD\ https://t.co/z3XA6PKORM,Politik
66,"@cWguTsOjAq0lrXLL2+OnlGq7unZxCF3ux3M77MULVTg= @lFmvIRG+h9l0SRrhcDDWDq+tG7FusC8Dt/9BzNnHPyg= @Rr3uIBgS6/CQ66xDHydLTam9pjrf3QK50Xv/nKkfkoc= Kolaborasi hebat antara Pak Anies dan Cak Imin, menyatukan visi untuk kemajuan yang inklusif dan berdampak positif",Politik
67,RT @vV/LHxtkaPfO9vrUFzfzK6hERYGXCuR3oCB/wwCecKc= Dih bang Fahri Hamzah lagi ngomongin pak Jokowi dan pak Prabowo Ã°ÂŸÂ˜Â‚ https://t.co/1ZTFnZXduN [RE DS_yantie],Politik
68,"@vk5A/O0Dl0xJbj79xXZ+tnM341x0pj4K1BbWyACFR74= Berdarah"" menjadi petani di bumi Indonesia di tengah perampasan tanah, penyingkiran hak masyarakat adat https://t.co/g0NzVYzC0m https://t.co/m1UdFwfn3D",Sosial Budaya
69,@/oESDZ4QMLMkoEpD72k8V3rHxQlFIGcfe8aZfZXevSM= Rakyat pun Paham sewaktu Pencalonan Mega-Prabowo ( MegaPro ) tidak ada Issue HAM. Jadi Rakyat Paham itu karena berdasarkan kepentingan. Pendukung Jokowi sebagian besar masuk Prabowo + Koalisi Partai. Kesimpula,Politik
70,"RT Ã¢Â€ÂœBecik ketitik, ala ketara.Ã¢Â€Â Ã¢Â€Â”Prabowo (2019) [RE ainunnajib]",Ideologi
71,Jangan biarkan suaramu terabaikan. Pilih Pasangan Duo Bapak Bangsa Ganjar Pranowo Prof Mahfud dan ajak semua untuk bersama-sama mewujudkan impian kita.NK21-DYe #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/sK7BIYdRJB,Politik
72,Ã°ÂŸÂŽÂ« Ganjar Mahfud Hebat #3GM #Coblos3 #DuluJokowiSekarangGanjar \'a0007koteka \'a0 bersih KuatkanKPK SikatKorupsi Hebat \'a0 mohmahfudmd KerjaB3rsama bersih kuatkanKPK Mahfud MD\,Politik
73,"RT Ã¢Â€ÂœBentrok antara warga dengan pendukung Prabowo-Gibran di Sleman mengakibatkan dua warga mengalami lukaÃ‚Â² dan satu warga meninggal duniaÃ¢Â€Â Pendukung dan yg didukung sama kelakuannya, nyawa gak ada harganya dimata merekaÃ°ÂŸÂ¤Â¦Ã¢Â€ÂÃ¢Â™Â€Ã¯Â¸Â Ã°ÂŸÂ¦Â‰Park Ahn Nice Ã¢Â˜ÂÃ¯Â¸ÂÃ¢ÂÂ¤ https://t.co/K5uavFp1B1 [RE AnKiiim_]",Pertahanan dan Keamanan
74,RT JEJAK ABAH ANIES Yang dibangun Park Ahn Nice bukan hanya infrastruktur fisik tapi juga pendidikan anak-anak Jakarta sebagai generasi penerus bangsa Ã¢ÂÂ¤Ã¯Â¸ÂÃ°ÂŸÂ‡Â®Ã°ÂŸÂ‡Â© #AMINAjaDulu #aniesbubble https://t.co/uVezAyAZod [RE MuhiqR],Politik
75,"RT Tanggapan serius Ganjar atas tindakan penganiayaan yang menimpa relawan Ganjar-Mahfud di Boyolali, Jawa Tengah. ""Ganjar: Saya Kira Oknum TNI yang Aniaya Mengerti aturan, Kalau Tidak Mengerti Pecat Saja"" @DFPKelYHDDvrdHwpDtd8PTLUk6UMAIe+ixdDgooRbhI= #GanjarMahfud2024 #L3bihbaik https://t.co/FgVMJyU4Cy https://t.co/jkTwMZIEVv [RE denni_sauya]",Pertahanan dan Keamanan
76,"RT 2 - 3 bulan lalu masih menjadi bahan analisa banyak orang. Hari ini kian terbukti, Gibran memang menjadi beban bagi Prabowo. Mungkin sudah garis tangan seorang Prabowo, tidak akan pernah memenangkan kontestasi menuju RI-1. Dua kali kalah karena salah memilih lawan, pun sekarang sepertinya akan kembali kalah karena salah memilih pasangan. Akankah 2029 nanti nyapres lagi? Kebangetan. [RE HensuAja]",Politik
77,"RT Kata Omon: ""Jadi Tanah Negara daripada dikuasai orang asing Lebih baik dikuasai Prabowo"" Pertanyaannya: Selama puluhan tahun ini, dengan tanah negara dikuasai Prabowo, RAKYAT DAPAT APA? Pinter apa goblok itu orang2 yg denger. https://t.co/nlDVWq9IUA [RE DokterTifa]",Politik
78,Duh! Kayaknya timnya Wan Angin lupa deh kalo pilkada itu bukan ajang pamer kealiman @Kor2+fSSDx1LG63Bi4Zze36ycZoiVzg0BE7ki6IUu6c= #AniesMuhaimin2024 Anies Deserve Better ter0risbaasyir dukungamin https://t.co/lW1uBzZXwO https://t.co/iBmv2Jcwtt,Politik
79,Ganjar Pranowo memberikan solusi cerdas melalui Garda Samud3ra untuk memastikan keamanan laut terjamin. @SnqvtfDvvRtes95e1rC6ZiobMRBP7fCdH8BTomOqDWk= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/E7t7NGuWrH,Pertahanan dan Keamanan
80,"RT Are u crying? Of course!Ã°ÂŸÂ¥Â¹ ""Bukan dari Anies Baswedan, bukan dari Gubernur, ini adalah dari warga Jakarta"". An unforgettable moment, when Anies Baswedan distributed the provincial government's symbolic social assistance cards for people with disabilities. Hormat-Ã°ÂŸÂ«Â¡Ã°ÂŸÂ«Â¡ #JejakAnies https://t.co/en7j1ZVWRo [RE PerempuanKujira]",Politik
81,"Ã¢Â€ÂœBagi Prabowo Gibran, mengatasi krisis air ini penting dan prioritas. Selain karena amanat pertahanan negara, #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",Pertahanan dan Keamanan
